datum a čas,domácí,hosté,skóre,hřiště,pzn.,akce,Datum utkání,Čas utkání,%Date,Timestamp,utkání,@Tremesna,Soupeř,Doma/Venku,název soutěže,zkratka soutěže,kategorie soutěže,pořadí,poznámka
17.08.2025 17:00,FC Libotov,TJ Baník Žacléř A,3 : 6 (PK:0:0),Libotov,,zápis uzavřen delegace,2025-08-17,17:00:00,739480,2025-08-17 17:00:00,FC Libotov - TJ Baník Žacléř A,False,FC Libotov,V,8.liga - OP II.třídy muži,Muži,Muzi,1,
17.08.2025 17:00,TJ Strážné,TJ Sokol Staré Buky,4 : 5 (PK:0:0),D.Branná,,zápis uzavřen delegace,2025-08-17,17:00:00,739480,2025-08-17 17:00:00,TJ Strážné - TJ Sokol Staré Buky,False,TJ Strážné,V,8.liga - OP II.třídy muži,Muži,Muzi,1,
16.08.2025 17:00,TJ Jiskra Kocbeře,Fotbal Club Mladé Buky A,1 : 9 (PK:0:0),Kocbeře,,zápis uzavřen delegace,2025-08-16,17:00:00,739479,2025-08-16 17:00:00,TJ Jiskra Kocbeře - Fotbal Club Mladé Buky A,False,TJ Jiskra Kocbeře,V,8.liga - OP II.třídy muži,Muži,Muzi,1,
16.08.2025 14:00,FK Sokol Volanov,Sokol Vítězná,2 : 1 (PK:0:0),Volanov,"/ , Původní termín: 16.08.2025 17:00",zápis uzavřen delegace,2025-08-16,14:00:00,739479,2025-08-16 14:00:00,FK Sokol Volanov - Sokol Vítězná,False,FK Sokol Volanov,V,8.liga - OP II.třídy muži,Muži,Muzi,1,  Původní termín: 16.08.2025 17:00
16.08.2025 17:00,FK Poříčí u Trutnova,TJ Spartak Pilníkov,1 : 2 (PK:0:0),Poříčí,,zápis uzavřen delegace,2025-08-16,17:00:00,739479,2025-08-16 17:00:00,FK Poříčí u Trutnova - TJ Spartak Pilníkov,False,FK Poříčí u Trutnova,V,8.liga - OP II.třídy muži,Muži,Muzi,1,
16.08.2025 17:00,TJ Tatran Hostinné A,Bílá Třemešná/Dvůr Králové B,2 : 2 (PK:0:0),Hostinné,,zápis uzavřen delegace,2025-08-16,17:00:00,739479,2025-08-16 17:00:00,TJ Tatran Hostinné A - Bílá Třemešná/Dvůr Králové B,True,TJ Tatran Hostinné A,V,8.liga - OP II.třídy muži,Muži,Muzi,1,
24.08.2025 17:00,TJ Lánov,FK Sokol Volanov,0 : 2 (PK:0:0),Lánov,,zápis uzavřen delegace,2025-08-24,17:00:00,739487,2025-08-24 17:00:00,TJ Lánov - FK Sokol Volanov,False,TJ Lánov,V,8.liga - OP II.třídy muži,Muži,Muzi,1,
23.08.2025 17:00,TJ Sokol Staré Buky,TJ Tatran Hostinné A,2 : 1 (PK:0:0),St.Buky,,zápis uzavřen delegace,2025-08-23,17:00:00,739486,2025-08-23 17:00:00,TJ Sokol Staré Buky - TJ Tatran Hostinné A,False,TJ Sokol Staré Buky,V,8.liga - OP II.třídy muži,Muži,Muzi,1,
23.08.2025 17:00,TJ Spartak Pilníkov,TJ Baník Žacléř A,2 : 2 (PK:0:0),Pilníkov,,zápis uzavřen delegace,2025-08-23,17:00:00,739486,2025-08-23 17:00:00,TJ Spartak Pilníkov - TJ Baník Žacléř A,False,TJ Spartak Pilníkov,V,8.liga - OP II.třídy muži,Muži,Muzi,1,
23.08.2025 17:00,Sokol Vítězná,TJ Jiskra Kocbeře,7 : 0 (PK:0:0),Vítězná,,zápis uzavřen delegace,2025-08-23,17:00:00,739486,2025-08-23 17:00:00,Sokol Vítězná - TJ Jiskra Kocbeře,False,Sokol Vítězná,V,8.liga - OP II.třídy muži,Muži,Muzi,1,
23.08.2025 17:00,Fotbal Club Mladé Buky A,TJ Strážné,9 : 0 (PK:0:0),M.Buky,,zápis uzavřen delegace,2025-08-23,17:00:00,739486,2025-08-23 17:00:00,Fotbal Club Mladé Buky A - TJ Strážné,False,Fotbal Club Mladé Buky A,V,8.liga - OP II.třídy muži,Muži,Muzi,1,
23.08.2025 17:00,Bílá Třemešná/Dvůr Králové B,FK Poříčí u Trutnova,3 : 1 (PK:0:0),B.Třemešná,,zápis uzavřen delegace,2025-08-23,17:00:00,739486,2025-08-23 17:00:00,Bílá Třemešná/Dvůr Králové B - FK Poříčí u Trutnova,True,FK Poříčí u Trutnova,D,8.liga - OP II.třídy muži,Muži,Muzi,1,
31.08.2025 17:00,TJ Strážné,Sokol Vítězná,3 : 1 (PK:0:0),D.Branná,,zápis uzavřen delegace,2025-08-31,17:00:00,739494,2025-08-31 17:00:00,TJ Strážné - Sokol Vítězná,False,TJ Strážné,V,8.liga - OP II.třídy muži,Muži,Muzi,1,
31.08.2025 17:00,TJ Lánov,FC Libotov,6 : 1 (PK:0:0),Lánov,,zápis uzavřen delegace,2025-08-31,17:00:00,739494,2025-08-31 17:00:00,TJ Lánov - FC Libotov,False,TJ Lánov,V,8.liga - OP II.třídy muži,Muži,Muzi,1,
30.08.2025 17:00,Bílá Třemešná/Dvůr Králové B,TJ Baník Žacléř A,3 : 0 (PK:0:0),B.Třemešná,,zápis uzavřen delegace,2025-08-30,17:00:00,739493,2025-08-30 17:00:00,Bílá Třemešná/Dvůr Králové B - TJ Baník Žacléř A,True,TJ Baník Žacléř A,D,8.liga - OP II.třídy muži,Muži,Muzi,1,
30.08.2025 17:00,FK Poříčí u Trutnova,TJ Sokol Staré Buky,2 : 0 (PK:0:0),Poříčí,,zápis uzavřen delegace,2025-08-30,17:00:00,739493,2025-08-30 17:00:00,FK Poříčí u Trutnova - TJ Sokol Staré Buky,False,FK Poříčí u Trutnova,V,8.liga - OP II.třídy muži,Muži,Muzi,1,
30.08.2025 17:00,TJ Tatran Hostinné A,Fotbal Club Mladé Buky A,7 : 1 (PK:0:0),Hostinné,,zápis uzavřen delegace,2025-08-30,17:00:00,739493,2025-08-30 17:00:00,TJ Tatran Hostinné A - Fotbal Club Mladé Buky A,False,TJ Tatran Hostinné A,V,8.liga - OP II.třídy muži,Muži,Muzi,1,
30.08.2025 17:00,FK Sokol Volanov,TJ Jiskra Kocbeře,2 : 0 (PK:0:0),Volanov,,zápis uzavřen delegace,2025-08-30,17:00:00,739493,2025-08-30 17:00:00,FK Sokol Volanov - TJ Jiskra Kocbeře,False,FK Sokol Volanov,V,8.liga - OP II.třídy muži,Muži,Muzi,1,
07.09.2025 17:00,FC Libotov,FK Sokol Volanov,4 : 2 (PK:0:0),Libotov,,zápis uzavřen delegace,2025-09-07,17:00:00,739501,2025-09-07 17:00:00,FC Libotov - FK Sokol Volanov,False,FC Libotov,V,8.liga - OP II.třídy muži,Muži,Muzi,1,
